"location_value","age_value","flesch_reading","flesch_kincaid","coleman_liau","typos_to_words","percent_difficult_words","google_search_similarity","fake"
"0","-0.286","60.04","9.8","12.82","0.035849056603773584","0.22452830188679246","0.07009995538069061","1"
"0","-0.286","60.24","9.7","13.58","0.02702702702702703","0.22136422136422138","0.3750778020186257","1"
"0","-0.286","61.56","9.2","11.71","0.039473684210526314","0.25","0.450203573225985","1"
"0","-0.286","71.44","7.4","12.0","0.024","0.248","0.13792608533118533","1"
"0","-0.286","50.46","11.4","14.5","0.03494623655913978","0.25","0.5431651669919965","1"
"0","-0.286","40.58","13.1","15.2","0.026755852842809364","0.25418060200668896","0.5881355960367778","1"
"0","-1.254","46.03","15.1","13.12","0.005105762217359592","0.2224653537563822","0.22507444448015385","1"
"0","-1.254","52.53","12.6","13.87","0.032640949554896145","0.2551928783382789","0.2346407165915878","1"
"0","-1.254","46.4","12.9","13.7","0.023143683702989394","0.24108003857280616","0.6192250566811128","1"
"0","-1.062","61.26","9.3","11.89","0.03428571428571429","0.2342857142857143","0.23112705460441835","1"
"0.65","-0.639","60.45","9.6","11.37","0.037859007832898174","0.1814621409921671","0.26817851028219164","1"
"0.65","-0.639","29.18","15.4","16.13","0.011612903225806452","0.2929032258064516","0.34265156822032145","1"
"0.65","-0.639","57.61","10.7","12.94","0.07524752475247524","0.2316831683168317","0.03727018500885667","1"
"0.65","-0.639","55.07","11.7","13.58","0.009404388714733543","0.219435736677116","0.35797109794732773","1"
"0.65","-0.639","52.49","10.6","14.45","0.021947101857062466","0.2312886888013506","0.5047139856719889","1"
"0.65","-0.639","46.91","12.7","16.83","0.02359882005899705","0.3185840707964602","0.5088728716998966","1"
"0.65","-0.639","41.13","15.0","14.75","0.046579330422125184","0.2692867540029112","0.31005668861272234","1"
"0","0.342","61.56","9.2","11.19","0.022388059701492536","0.2298507462686567","0.42441435887080736","1"
"0","0.342","58.92","10.2","13.63","0.05343511450381679","0.2544529262086514","0.4924354972018625","1"
"0","0.342","57.91","10.6","12.53","0.01278772378516624","0.2710997442455243","0.4079062504599801","1"
"0","-3.739","60.45","9.6","12.01","0.03986135181975736","0.22530329289428075","0.10893113160447443","1"
"0","-3.739","49.35","11.8","16.53","0.06151645207439199","0.27467811158798283","0.03586174119328641","1"
"0","-3.739","57.5","10.7","12.01","0.010218978102189781","0.22773722627737225","0.3001843827567043","1"
"0","-3.739","67.28","9.0","11.37","0.024024024024024024","0.2057057057057057","0.052184312897613466","1"
"0","-3.739","40.82","15.1","13.36","0.05263157894736842","0.23759398496240602","0.07779733698012868","1"
"0","-3.739","49.15","11.9","15.61","0.03107658157602664","0.26914539400665927","0.4044102031783073","1"
"0","-3.739","66.27","9.4","11.43","0.03206106870229008","0.20610687022900764","0.35298979822375365","1"
"0","-3.739","55.98","11.3","12.36","0.08791208791208792","0.23390894819466249","0.13493997540009794","1"
"0","-3.739","50.36","11.4","15.55","0.10225563909774436","0.26766917293233083","0.017531422784211985","1"
"0","-3.739","68.81","8.5","10.33","0.025044722719141325","0.2039355992844365","0.025797381534706138","1"
"0","0.239","77.74","5.0","9.83","0.02512562814070352","0.1708542713567839","0.35695493177921767","1"
"0","0.239","71.14","7.6","10.79","0.014705882352941176","0.19117647058823528","0.10054388324720324","1"
"0","-0.38","69.92","8.0","10.67","0.01694915254237288","0.1864406779661017","0.11946449933713157","1"
"0","-0.38","79.3","6.5","8.64","0.04807692307692308","0.1346153846153846","0.02190775050627105","1"
